literal,code,standard,contributor,province
's-graveland,390,'s-Graveland,cedarproject,Noord-Holland
's-graveland,1696,Wijdemeren,cedarproject,Noord-Holland
's-gravenambacht,1320,'s-Gravenambacht,cedarproject,Zuid-Holland
's-gravendeel,517,'s-Gravendeel,cedarproject,Zuid-Holland
's-gravenhage,518,'s-Gravenhage,cedarproject,Zuid-Holland
's-gravenmoer,787,'s-Gravenmoer,cedarproject,Noord-Brabant
's-gravenpolder,666,'s-Gravenpolder,cedarproject,Zeeland
's-gravenzande,519,'s-Gravenzande,cedarproject,Zuid-Holland
's-gravesloot,1321,'s-Gravesloot,cedarproject,Utrecht
's-heer abtskerke,669,'s-Heer Abtskerke,cedarproject,Zeeland
's-heer arendskerke,670,'s-Heer Arendskerke,cedarproject,Zeeland
's-heer hendrikskinderen,1326,'s-Heer Hendrikskinderen,cedarproject,Zeeland
's-heerenberg,207,Bergh,cedarproject,Gelderland
's-heerenberg,1955,Montferland,cedarproject,Gelderland
's-heerenhoek,671,'s-Heerenhoek,cedarproject,Zeeland
's-hertogenbosch,796,'s-Hertogenbosch,cedarproject,Noord-Brabant
't zandt,54,'t Zandt,cedarproject,Groningen
aa en hunze,1680,Aa en Hunze,cedarproject,Drenthe
aa en hunze,105,Anloo,cedarproject,Drenthe
aagtekerke,1000,Aagtekerke,cedarproject,Zeeland
aagtekerke,1000,Aagtekerke,cedarproject,Zeeland
aalburg,738,Aalburg,cedarproject,Noord-Brabant
aalburg,876,Wijk en Aalburg,cedarproject,Noord-Brabant
aalsmeer,358,Aalsmeer,cedarproject,Noord-Holland
aalst,1001,Aalst [NB],cedarproject,null
aalten,197,Aalten,cedarproject,Gelderland
aardenburg,648,Aardenburg,cedarproject,Zeeland
aardenburg,1698,Sluis-Aardenburg,cedarproject,Zeeland
aarlanderveen,1002,Aarlanderveen,cedarproject,Zuid-Holland
aarle-rixtel,739,Aarle-Rixtel,cedarproject,Noord-Brabant
abbekerk,359,Abbekerk,cedarproject,Noord-Holland
abbenbroek,481,Abbenbroek,cedarproject,Zuid-Holland
abcoude,305,Abcoude [2],cedarproject,null
abcoude,1004,Abcoude-Proostdij,cedarproject,Utrecht
abcoude-baambrugge,1003,Abcoude-Baambrugge,cedarproject,Utrecht
abcoude-proostdij,305,Abcoude [2],cedarproject,null
abcoude-proostdij,1004,Abcoude-Proostdij,cedarproject,Utrecht
abtsregt,1301,Abtsregt,cedarproject,Zuid-Holland
achthoven,1302,Achthoven,cedarproject,Utrecht
achtkarspelen,59,Achtkarspelen,cedarproject,Friesland
achttienhoven,1303,Achttienhoven [ZH],cedarproject,null
ackersdijk en vrouwenregt,1304,Ackersdijk en Vrouwenregt,cedarproject,Zuid-Holland
adorp,1,Adorp,cedarproject,Groningen
aduard,2,Aduard,cedarproject,Groningen
aengwirden,1006,Aengwirden,cedarproject,Friesland
akersloot,360,Akersloot,cedarproject,Noord-Holland
akkrum,95,Utingeradeel,cedarproject,Friesland
alblasserdam,482,Alblasserdam,cedarproject,Zuid-Holland
albrandswaard,477,Albrandswaard [1],cedarproject,null
albrandswaard,613,Albrandswaard [2],cedarproject,null
"alem, maren en kessel",1007,"Alem, Maren en Kessel",cedarproject,Noord-Brabant
alkemade,483,Alkemade,cedarproject,Zuid-Holland
alkmaar,361,Alkmaar,cedarproject,Noord-Holland
almelo,141,Almelo [2],cedarproject,null
almelo,1189,Stad Almelo,cedarproject,Overijssel
almere,34,Almere,cedarproject,Flevoland
almkerk,740,Almkerk,cedarproject,Noord-Brabant
alphen aan den rijn,1008,Alphen,cedarproject,Gelderland
alphen aan den rijn,484,Alphen aan den Rijn,cedarproject,Zuid-Holland
alphen en riel,1723,Alphen-Chaam,cedarproject,Noord-Brabant
alphen en riel,741,Alphen en Riel,cedarproject,Noord-Brabant
alphen-chaam,1723,Alphen-Chaam,cedarproject,Noord-Brabant
alphen-chaam,741,Alphen en Riel,cedarproject,Noord-Brabant
ambt almelo,1009,Ambt Almelo,cedarproject,Overijssel
ambt delden,142,Ambt Delden,cedarproject,Overijssel
ambt doetinchem,1010,Ambt Doetinchem,cedarproject,Gelderland
ambt doetinchem,222,Doetinchem,cedarproject,Gelderland
ambt hardenberg,1011,Ambt Hardenberg,cedarproject,Overijssel
ambt hardenberg,160,Hardenberg [2],cedarproject,null
ambt montfort,1679,Ambt Montfort,cedarproject,Limburg
ambt montfort,956,Posterholt,cedarproject,Limburg
ambt ommen,1012,Ambt Ommen,cedarproject,Overijssel
ambt ommen,175,Ommen [2],cedarproject,null
ambt vollenhove,1013,Ambt Vollenhove,cedarproject,Overijssel
ambt vollenhove,194,Brederwiede,cedarproject,Overijssel
ambt vollenhove,185,Vollenhove [2],cedarproject,null
amby,883,Amby,cedarproject,Limburg
ameide,485,Ameide,cedarproject,Zuid-Holland
ameland,60,Ameland,cedarproject,Friesland
amerongen,306,Amerongen,cedarproject,Utrecht
amersfoort,307,Amersfoort,cedarproject,Utrecht
ammerstol,486,Ammerstol,cedarproject,Zuid-Holland
ammerzoden,198,Ammerzoden,cedarproject,Gelderland
amstelveen,362,Amstelveen,cedarproject,Noord-Holland
amstelveen,1249,Nieuwer-Amstel,cedarproject,Noord-Holland
amstenrade,884,Amstenrade,cedarproject,Limburg
amsterdam,363,Amsterdam,cedarproject,Noord-Holland
andel,742,Andel,cedarproject,Noord-Brabant
andijk,364,Andijk,cedarproject,Noord-Holland
angerlo,199,Angerlo,cedarproject,Gelderland
ankeveen,1014,Ankeveen,cedarproject,Noord-Holland
ankeveen,1014,Ankeveen,cedarproject,Noord-Holland
anloo,1680,Aa en Hunze,cedarproject,Drenthe
anloo,105,Anloo,cedarproject,Drenthe
anna paulowna,366,Anna Paulowna,cedarproject,Noord-Holland
apeldoorn,200,Apeldoorn,cedarproject,Gelderland
appeltern,201,Appeltern,cedarproject,Gelderland
appingedam,3,Appingedam,cedarproject,Groningen
arcen en velden,885,Arcen en Velden,cedarproject,Limburg
arkel,487,Arkel,cedarproject,Zuid-Holland
arnemuiden,649,Arnemuiden,cedarproject,Zeeland
arnhem,202,Arnhem,cedarproject,Gelderland
asperen,488,Asperen,cedarproject,Zuid-Holland
assen,106,Assen,cedarproject,Drenthe
assendelft,367,Assendelft,cedarproject,Noord-Holland
asten,743,Asten,cedarproject,Noord-Brabant
avenhorn,368,Avenhorn,cedarproject,Noord-Holland
avereest,143,Avereest,cedarproject,Overijssel
axel,650,Axel,cedarproject,Zeeland
baambrugge,1003,Abcoude-Baambrugge,cedarproject,Utrecht
baarderadeel,61,Baarderadeel,cedarproject,Friesland
baarderadeel,103,Littenseradeel,cedarproject,Friesland
baarderadeel,140,Littenseradiel,cedarproject,Friesland
baardwijk,1015,Baardwijk,cedarproject,Noord-Brabant
baarland,651,Baarland,cedarproject,Zeeland
baarle-nassau,744,Baarle-Nassau,cedarproject,Noord-Brabant
baarn,308,Baarn,cedarproject,Utrecht
baexem,886,Baexem,cedarproject,Limburg
baflo,4,Baflo,cedarproject,Groningen
bakel,745,Bakel en Milheeze,cedarproject,Noord-Brabant
bakel en milheeze,745,Bakel en Milheeze,cedarproject,Noord-Brabant
balgoij,1016,Balgoij,cedarproject,Gelderland
balk,71,Gaasterland,cedarproject,Friesland
balk,653,Gaasterlân-Sleat,cedarproject,Friesland
bangert,1246,Bangert,cedarproject,Noord-Holland
bangert,498,Drechterland,cedarproject,Noord-Holland
bangert,403,Hoogkarspel,cedarproject,Noord-Holland
barendrecht,489,Barendrecht [2],cedarproject,null
barendrecht,1134,Oost- en West-Barendrecht,cedarproject,Zuid-Holland
barendrecht,1394,West-Barendrecht,cedarproject,Zuid-Holland
barneveld,203,Barneveld,cedarproject,Gelderland
barradeel,62,Barradeel,cedarproject,Friesland
barsingerhorn,369,Barsingerhorn,cedarproject,Noord-Holland
barwoutswaarder,1017,Barwoutswaarder,cedarproject,Zuid-Holland
batenburg,204,Batenburg,cedarproject,Gelderland
bath,1018,Bath,cedarproject,Zeeland
bathmen,144,Bathmen,cedarproject,Overijssel
bedum,5,Bedum,cedarproject,Groningen
beegden,887,Beegden,cedarproject,Limburg
beek,888,Beek [Li],cedarproject,null
beek en donk,746,Beek en Donk,cedarproject,Noord-Brabant
beek en donk,1659,Laarbeek,cedarproject,Noord-Brabant
beemster,370,Beemster,cedarproject,Noord-Holland
beers,747,Beers,cedarproject,Noord-Brabant
beerta,6,Beerta,cedarproject,Groningen
beerta,1661,Reiderland,cedarproject,Groningen
beesd,205,Beesd,cedarproject,Gelderland
beesel,889,Beesel,cedarproject,Limburg
beets,371,Beets,cedarproject,Noord-Holland
beilen,107,Beilen,cedarproject,Drenthe
beilen,1731,Midden-Drenthe,cedarproject,Drenthe
beilen,1697,Middenveld,cedarproject,Drenthe
belfeld,890,Belfeld,cedarproject,Limburg
bellingwedde,7,Bellingwedde,cedarproject,Groningen
bellingwedde,1019,Bellingwolde,cedarproject,Groningen
bellingwedde,1019,Bellingwolde,cedarproject,Groningen
bellingwolde,7,Bellingwedde,cedarproject,Groningen
bellingwolde,1019,Bellingwolde,cedarproject,Groningen
bellingwolde,1019,Bellingwolde,cedarproject,Groningen
bemelen,891,Bemelen,cedarproject,Limburg
bemmel,206,Bemmel,cedarproject,Gelderland
bemmel,1705,Lingewaard,cedarproject,Gelderland
bennebroek,372,Bennebroek,cedarproject,Noord-Holland
benschop,309,Benschop,cedarproject,Utrecht
benthorn,1305,Benthorn,cedarproject,Zuid-Holland
benthuizen,490,Benthuizen,cedarproject,Zuid-Holland
berg en terblijt,892,Berg en Terblijt,cedarproject,Limburg
bergambacht,491,Bergambacht,cedarproject,Zuid-Holland
bergeijk,1724,Bergeijk,cedarproject,Noord-Brabant
bergeijk,749,Bergeyk,cedarproject,Noord-Brabant
bergen,373,Bergen [NH],cedarproject,null
bergen op zoom,748,Bergen op Zoom,cedarproject,Noord-Brabant
bergeyk,1724,Bergeijk,cedarproject,Noord-Brabant
bergeyk,749,Bergeyk,cedarproject,Noord-Brabant
bergh,207,Bergh,cedarproject,Gelderland
bergh,1955,Montferland,cedarproject,Gelderland
bergharen,208,Bergharen,cedarproject,Gelderland
berghem,750,Berghem,cedarproject,Noord-Brabant
bergschenhoek,492,Bergschenhoek,cedarproject,Zuid-Holland
bergum,94,Tietjerksteradeel,cedarproject,Friesland
bergum,737,Tytsjerksteradiel,cedarproject,Friesland
berkel en rodenrijs,493,Berkel en Rodenrijs,cedarproject,Zuid-Holland
berkel-enschot,751,Berkel-Enschot,cedarproject,Noord-Brabant
berkelland,1859,Berkelland,cedarproject,Gelderland
berkelland,229,Eibergen,cedarproject,Gelderland
berkenrode,1306,Berkenrode,cedarproject,Noord-Holland
berkenwoude,494,Berkenwoude,cedarproject,Zuid-Holland
berkhout,374,Berkhout,cedarproject,Noord-Holland
berkhout,558,Wester-Koggenland,cedarproject,Noord-Holland
berlicum,752,Berlicum,cedarproject,Noord-Brabant
bernheze,1721,Bernheze,cedarproject,Noord-Brabant
bernheze,791,Heesch,cedarproject,Noord-Brabant
bernisse,568,Bernisse,cedarproject,Zuid-Holland
bernisse,640,Zuidland,cedarproject,Zuid-Holland
besoijen,1020,Besoijen,cedarproject,Noord-Brabant
best,753,Best,cedarproject,Noord-Brabant
beugen en rijkevoort,1021,Beugen en Rijkevoort,cedarproject,Noord-Brabant
beuningen,209,Beuningen,cedarproject,Gelderland
beusichem,210,Beusichem,cedarproject,Gelderland
beverwijk,375,Beverwijk,cedarproject,Noord-Holland
biert,1307,Biert,cedarproject,Zuid-Holland
bierum,8,Bierum,cedarproject,Groningen
biervliet,652,Biervliet,cedarproject,Zeeland
biesland,1308,Biesland,cedarproject,Zuid-Holland
biggekerke,1022,Biggekerke,cedarproject,Zeeland
biggekerke,1022,Biggekerke,cedarproject,Zeeland
bijlmermeer,1309,Bijlmermeer,cedarproject,Noord-Holland
bingelrade,894,Bingelrade,cedarproject,Limburg
binnenmaas,585,Binnenmaas,cedarproject,Zuid-Holland
binnenmaas,593,Puttershoek,cedarproject,Zuid-Holland
bladel,1728,Bladel,cedarproject,Noord-Brabant
bladel,754,Bladel en Netersel,cedarproject,Noord-Brabant
bladel en netersel,1728,Bladel,cedarproject,Noord-Brabant
bladel en netersel,754,Bladel en Netersel,cedarproject,Noord-Brabant
blankenham,145,Blankenham,cedarproject,Overijssel
blaricum,376,Blaricum,cedarproject,Noord-Holland
bleiswijk,495,Bleiswijk,cedarproject,Zuid-Holland
bleskensgraaf,1262,Bleskensgraaf,cedarproject,Zuid-Holland
bleskensgraaf,496,Bleskensgraaf en Hofwegen,cedarproject,Zuid-Holland
bleskensgraaf,693,Graafstroom,cedarproject,Zuid-Holland
bleskensgraaf en hofwegen,1262,Bleskensgraaf,cedarproject,Zuid-Holland
bleskensgraaf en hofwegen,496,Bleskensgraaf en Hofwegen,cedarproject,Zuid-Holland
bleskensgraaf en hofwegen,693,Graafstroom,cedarproject,Zuid-Holland
bloemendaal,377,Bloemendaal,cedarproject,Noord-Holland
bloemendaal,377,Bloemendaal,cedarproject,Zuid-Holland
blokker,378,Blokker,cedarproject,Noord-Holland
blokzijl,146,Blokzijl,cedarproject,Overijssel
boarnsterhim,55,Boarnsterhim,cedarproject,Friesland
boarnsterhim,57,Boornsterhem,cedarproject,Friesland
boarnsterhim,78,Idaarderadeel,cedarproject,Friesland
bocholtz,895,Bocholtz,cedarproject,Limburg
bodegraven,497,Bodegraven,cedarproject,Zuid-Holland
boekel,755,Boekel,cedarproject,Noord-Brabant
bokhoven,1023,Bokhoven,cedarproject,Noord-Brabant
bolsward,64,Bolsward,cedarproject,Friesland
bommenede,1025,Bommenede,cedarproject,Zeeland
boornsterhem,55,Boarnsterhim,cedarproject,Friesland
boornsterhem,57,Boornsterhem,cedarproject,Friesland
boornsterhem,78,Idaarderadeel,cedarproject,Friesland
borculo,211,Borculo,cedarproject,Gelderland
borger,108,Borger,cedarproject,Drenthe
borger,1681,Borger-Odoorn,cedarproject,Drenthe
borger-odoorn,108,Borger,cedarproject,Drenthe
borger-odoorn,1681,Borger-Odoorn,cedarproject,Drenthe
borgharen,896,Borgharen,cedarproject,Limburg
borkel en schaft,1026,Borkel en Schaft,cedarproject,Noord-Brabant
born,897,Born,cedarproject,Limburg
borne,147,Borne,cedarproject,Overijssel
borsele,654,Borsele,cedarproject,Zeeland
borsele,1254,Borssele,cedarproject,Zeeland
borssele,654,Borsele,cedarproject,Zeeland
borssele,1254,Borssele,cedarproject,Zeeland
boschkapelle,1027,Boschkapelle,cedarproject,Zeeland
boskoop,499,Boskoop,cedarproject,Zuid-Holland
bovenkarspel,379,Bovenkarspel,cedarproject,Noord-Holland
boxmeer,756,Boxmeer,cedarproject,Noord-Brabant
boxtel,757,Boxtel,cedarproject,Noord-Brabant
bozum,61,Baarderadeel,cedarproject,Friesland
bozum,103,Littenseradeel,cedarproject,Friesland
bozum,140,Littenseradiel,cedarproject,Friesland
brakel,212,Brakel,cedarproject,Gelderland
brandwijk,500,Brandwijk,cedarproject,Zuid-Holland
breda,758,Breda,cedarproject,Noord-Brabant
brederwiede,1013,Ambt Vollenhove,cedarproject,Overijssel
brederwiede,194,Brederwiede,cedarproject,Overijssel
brederwiede,185,Vollenhove [2],cedarproject,null
bree,934,Maasbree,cedarproject,Limburg
breskens,655,Breskens,cedarproject,Zeeland
breukelen,311,Breukelen [2],cedarproject,null
breukelen,1028,Breukelen-Nijenrode,cedarproject,Utrecht
breukelen-nijenrode,311,Breukelen [2],cedarproject,null
breukelen-nijenrode,1028,Breukelen-Nijenrode,cedarproject,Utrecht
breukelen-sint pieters,1029,Breukelen-Sint Pieters,cedarproject,Utrecht
brielle,501,Brielle,cedarproject,Zuid-Holland
broek,1030,Broek,cedarproject,Zuid-Holland
broek in waterland,380,Broek in Waterland,cedarproject,Noord-Holland
broek op langendijk,1031,Broek op Langendijk,cedarproject,Noord-Holland
broek op langendijk,416,Langedijk,cedarproject,Noord-Holland
broekhuizen,898,Broekhuizen,cedarproject,Limburg
broeksittard,1032,Broeksittard,cedarproject,Limburg
bronckhorst,1876,Bronckhorst,cedarproject,Gelderland
bronckhorst,298,Zelhem,cedarproject,Gelderland
brouwershaven,656,Brouwershaven,cedarproject,Zeeland
bruinisse,657,Bruinisse,cedarproject,Zeeland
brummen,213,Brummen,cedarproject,Gelderland
brunssum,899,Brunssum,cedarproject,Limburg
budel,759,Budel,cedarproject,Noord-Brabant
budel,1706,Cranendonck,cedarproject,Noord-Brabant
buggenum,1033,Buggenum,cedarproject,Limburg
buiksloot,1034,Buiksloot,cedarproject,Noord-Holland
buitenpost,59,Achtkarspelen,cedarproject,Friesland
bunde,900,Bunde,cedarproject,Limburg
bunnik,312,Bunnik,cedarproject,Utrecht
bunschoten,313,Bunschoten,cedarproject,Utrecht
buren,214,Buren,cedarproject,Gelderland
burgh,1035,Burgh,cedarproject,Zeeland
bussum,381,Bussum,cedarproject,Noord-Holland
buurmalsen,215,Buurmalsen,cedarproject,Gelderland
cabauw,1310,Cabauw,cedarproject,Utrecht
cadier,901,Cadier en Keer,cedarproject,Limburg
cadier en keer,901,Cadier en Keer,cedarproject,Limburg
cadzand,658,Cadzand,cedarproject,Zeeland
callantsoog,382,Callantsoog,cedarproject,Noord-Holland
capelle,1036,Capelle,cedarproject,Noord-Brabant
capelle,849,Sprang-Capelle,cedarproject,Noord-Brabant
capelle aan den ijssel,502,Capelle aan den IJssel,cedarproject,Zuid-Holland
castricum,383,Castricum,cedarproject,Noord-Holland
chaam,760,Chaam,cedarproject,Noord-Brabant
charlois,1037,Charlois,cedarproject,Zuid-Holland
cillaarshoek,1311,Cillaarshoek,cedarproject,Zuid-Holland
clinge,659,Clinge,cedarproject,Zeeland
coevorden,109,Coevorden,cedarproject,Drenthe
colijnsplaat,1038,Colijnsplaat,cedarproject,Zeeland
cothen,314,Cothen,cedarproject,Utrecht
cranendonck,759,Budel,cedarproject,Noord-Brabant
cranendonck,1706,Cranendonck,cedarproject,Noord-Brabant
cromstrijen,611,Cromstrijen,cedarproject,Zuid-Holland
cromstrijen,578,Numansdorp,cedarproject,Zuid-Holland
cromvoirt,1039,Cromvoirt,cedarproject,Noord-Brabant
cuijk,1684,Cuijk,cedarproject,Noord-Brabant
cuijk,761,Cuijk en Sint Agatha,cedarproject,Noord-Brabant
cuijk en sint agatha,1684,Cuijk,cedarproject,Noord-Brabant
cuijk en sint agatha,761,Cuijk en Sint Agatha,cedarproject,Noord-Brabant
cuijk en st. agatha,1684,Cuijk,cedarproject,Noord-Brabant
cuijk en st. agatha,761,Cuijk en Sint Agatha,cedarproject,Noord-Brabant
culemborg,216,Culemborg,cedarproject,Gelderland
dalen,110,Dalen,cedarproject,Drenthe
dalfsen,148,Dalfsen,cedarproject,Overijssel
dantumadeel,65,Dantumadeel,cedarproject,Friesland
dantumawoude,65,Dantumadeel,cedarproject,Friesland
darthuizen,1312,Darthuizen,cedarproject,Utrecht
de bilt,310,De Bilt,cedarproject,Utrecht
de lier,552,De Lier,cedarproject,Zuid-Holland
de marne,1663,De Marne,cedarproject,Groningen
de marne,45,Ulrum,cedarproject,Groningen
de mijl,1345,De Mijl,cedarproject,Zuid-Holland
de rijp,365,Graft-De Rijp,cedarproject,Noord-Holland
de rijp,440,De Rijp,cedarproject,Noord-Holland
de ronde venen,336,Mijdrecht,cedarproject,Utrecht
de ronde venen,736,De Ronde Venen,cedarproject,Utrecht
de vennip,1385,De Vennip,cedarproject,Zuid-Holland
de vuursche,1392,De Vuursche,cedarproject,Utrecht
de werken en sleeuwijk,1222,De Werken en Sleeuwijk,cedarproject,Noord-Brabant
de wijk,135,De Wijk,cedarproject,Drenthe
de wolden,1690,De Wolden,cedarproject,Drenthe
de wolden,137,Zuidwolde,cedarproject,Drenthe
deil,217,Deil,cedarproject,Gelderland
delden,142,Ambt Delden,cedarproject,Overijssel
delfshaven,1040,Delfshaven,cedarproject,Zuid-Holland
delft,503,Delft,cedarproject,Zuid-Holland
delfzijl,10,Delfzijl,cedarproject,Groningen
den bommel,1024,Den Bommel,cedarproject,Zuid-Holland
den bommel,1024,Den Bommel,cedarproject,Zuid-Holland
den dungen,768,Den Dungen,cedarproject,Noord-Brabant
den ham,159,Den Ham,cedarproject,Overijssel
den helder,400,Den Helder,cedarproject,Noord-Holland
denekamp,149,Denekamp,cedarproject,Overijssel
denekamp,1774,Dinkelland,cedarproject,Overijssel
deurne,762,Deurne,cedarproject,Noord-Brabant
deurne,1041,Deurne en Liessel,cedarproject,Noord-Brabant
deurne en liessel,762,Deurne,cedarproject,Noord-Brabant
deurne en liessel,1041,Deurne en Liessel,cedarproject,Noord-Brabant
deursen en dennenburg,1042,Deursen en Dennenburg,cedarproject,Noord-Brabant
deventer,150,Deventer,cedarproject,Overijssel
didam,218,Didam,cedarproject,Gelderland
"dieden, demen en langel",1043,"Dieden, Demen en Langel",cedarproject,Noord-Brabant
diemen,384,Diemen,cedarproject,Noord-Holland
diepenheim,151,Diepenheim,cedarproject,Overijssel
diepenveen,152,Diepenveen,cedarproject,Overijssel
diessen,763,Diessen,cedarproject,Noord-Brabant
diever,111,Diever,cedarproject,Drenthe
dinkelland,149,Denekamp,cedarproject,Overijssel
dinkelland,1774,Dinkelland,cedarproject,Overijssel
dinteloord en prinsenland,764,Dinteloord en Prinsenland,cedarproject,Noord-Brabant
dinther,1044,Dinther,cedarproject,Noord-Brabant
dinther,1044,Dinther,cedarproject,Noord-Brabant
dinther,792,Heeswijk-Dinther,cedarproject,Noord-Brabant
dinxperlo,219,Dinxperlo,cedarproject,Gelderland
dirksland,504,Dirksland,cedarproject,Zuid-Holland
dodewaard,220,Dodewaard,cedarproject,Gelderland
doesburg,221,Doesburg,cedarproject,Gelderland
doetinchem,1010,Ambt Doetinchem,cedarproject,Gelderland
doetinchem,222,Doetinchem,cedarproject,Gelderland
dokkum,66,Dokkum,cedarproject,Friesland
dokkum,58,Dongeradeel,cedarproject,Friesland
domburg,660,Domburg,cedarproject,Zeeland
domburg-binnen,660,Domburg,cedarproject,Zeeland
dommelen,1045,Dommelen,cedarproject,Noord-Brabant
dongen,766,Dongen,cedarproject,Noord-Brabant
dongeradeel,66,Dokkum,cedarproject,Friesland
dongeradeel,58,Dongeradeel,cedarproject,Friesland
doniawerstal,67,Doniawerstal,cedarproject,Friesland
doorn,315,Doorn,cedarproject,Utrecht
doornspijk,223,Doornspijk,cedarproject,Gelderland
doorwerth,1046,Doorwerth,cedarproject,Gelderland
dordrecht,505,Dordrecht,cedarproject,Zuid-Holland
dorth,1313,Dorth,cedarproject,Gelderland
drachten,90,Smallingerland,cedarproject,Friesland
drechterland,1246,Bangert,cedarproject,Noord-Holland
drechterland,498,Drechterland,cedarproject,Noord-Holland
drechterland,403,Hoogkarspel,cedarproject,Noord-Holland
dreischor,1047,Dreischor,cedarproject,Zeeland
dreumel,224,Dreumel,cedarproject,Gelderland
driebergen,1048,Driebergen,cedarproject,Utrecht
driebergen,316,Driebergen-Rijsenburg,cedarproject,Utrecht
driebergen,1581,Utrechtse Heuvelrug,cedarproject,Utrecht
driebergen-rijsenburg,1048,Driebergen,cedarproject,Utrecht
driebergen-rijsenburg,316,Driebergen-Rijsenburg,cedarproject,Utrecht
driebergen-rijsenburg,1581,Utrechtse Heuvelrug,cedarproject,Utrecht
driebruggen,506,Driebruggen,cedarproject,Zuid-Holland
driebruggen,1217,Waarder,cedarproject,Zuid-Holland
driel,1248,Driel,cedarproject,Gelderland
driel,263,Maasdriel,cedarproject,Gelderland
driewegen,661,Driewegen,cedarproject,Zeeland
drimmelen,1719,Drimmelen,cedarproject,Noord-Brabant
drimmelen,1665,Made,cedarproject,Noord-Brabant
drimmelen,812,Made en Drimmelen,cedarproject,Noord-Brabant
drongelen,1049,Drongelen,cedarproject,Noord-Brabant
drongelen,1263,"Drongelen, Haagoort, Gansoijen en Doeveren",cedarproject,Noord-Brabant
"drongelen, haagoort, gansoijen en doeveren",1049,Drongelen,cedarproject,Noord-Brabant
"drongelen, haagoort, gansoijen en doeveren",1263,"Drongelen, Haagoort, Gansoijen en Doeveren",cedarproject,Noord-Brabant
dronten,303,Dronten,cedarproject,Flevoland
drunen,767,Drunen,cedarproject,Noord-Brabant
druten,225,Druten,cedarproject,Gelderland
dubbeldam,507,Dubbeldam,cedarproject,Zuid-Holland
duist,1314,Duist,cedarproject,Utrecht
duiveland,662,Duiveland,cedarproject,Zeeland
duiveland,1136,Oosterland,cedarproject,Zeeland
duiven,226,Duiven,cedarproject,Gelderland
duivendijke,1050,Duivendijke,cedarproject,Zeeland
duizel en steensel,1051,Duizel en Steensel,cedarproject,Noord-Brabant
dussen,769,Dussen,cedarproject,Noord-Brabant
dussen,1265,"Dussen, Munster en Muilkerk",cedarproject,Noord-Brabant
"dussen, munster en muilkerk",769,Dussen,cedarproject,Noord-Brabant
"dussen, munster en muilkerk",1265,"Dussen, Munster en Muilkerk",cedarproject,Noord-Brabant
dwingeloo,112,Dwingeloo,cedarproject,Drenthe
echt,902,Echt,cedarproject,Limburg
echt,1711,Echt-Susteren,cedarproject,Limburg
echt-susteren,902,Echt,cedarproject,Limburg
echt-susteren,1711,Echt-Susteren,cedarproject,Limburg
echteld,227,Echteld,cedarproject,Gelderland
edam,1315,Edam,cedarproject,Noord-Holland
edam,385,Edam-Volendam,cedarproject,Noord-Holland
edam-volendam,1315,Edam,cedarproject,Noord-Holland
edam-volendam,385,Edam-Volendam,cedarproject,Noord-Holland
ede,228,Ede,cedarproject,Gelderland
eede,1052,Eede,cedarproject,Zeeland
eelde,113,Eelde,cedarproject,Drenthe
eemnes,317,Eemnes,cedarproject,Utrecht
eemsmond,1651,Eemsmond,cedarproject,Groningen
eemsmond,19,Hefshuizen,cedarproject,Groningen
eemsmond,44,Uithuizermeeden,cedarproject,Groningen
eenrum,11,Eenrum,cedarproject,Groningen
eersel,770,Eersel,cedarproject,Noord-Brabant
eethen,1060,Genderen,cedarproject,null
eethen,1255,Eethen,cedarproject,Noord-Brabant
eethen,1255,Eethen,cedarproject,Noord-Brabant
eethen,1255,"Heesbeen, Eethen en Genderen",cedarproject,Noord-Brabant
"eethen, genderen en heesbeen",1060,Genderen,cedarproject,null
"eethen, genderen en heesbeen",1255,Eethen,cedarproject,Noord-Brabant
"eethen, genderen en heesbeen",1255,Eethen,cedarproject,Noord-Brabant
"eethen, genderen en heesbeen",1255,"Heesbeen, Eethen en Genderen",cedarproject,Noord-Brabant
egmond,357,Egmond,cedarproject,Noord-Holland
egmond,386,Egmond aan Zee,cedarproject,Noord-Holland
egmond aan zee,357,Egmond,cedarproject,Noord-Holland
egmond aan zee,386,Egmond aan Zee,cedarproject,Noord-Holland
egmond-binnen,387,Egmond-Binnen,cedarproject,Noord-Holland
eibergen,1859,Berkelland,cedarproject,Gelderland
eibergen,229,Eibergen,cedarproject,Gelderland
eijgelshoven,904,Eijgelshoven,cedarproject,Limburg
eijsden,905,Eijsden,cedarproject,Limburg
eindhoven,772,Eindhoven,cedarproject,Noord-Brabant
elburg,230,Elburg,cedarproject,Gelderland
elkerzee,1053,Elkerzee,cedarproject,Zeeland
ellemeet,1054,Ellemeet,cedarproject,Zeeland
ellewoutsdijk,663,Ellewoutsdijk,cedarproject,Zeeland
elsloo,903,Elsloo,cedarproject,Limburg
elst,231,Elst,cedarproject,Gelderland
elst,1734,Overbetuwe,cedarproject,Gelderland
elten,1055,Elten,cedarproject,Gelderland
emmen,114,Emmen,cedarproject,Drenthe
emmikhoven,1056,Emmikhoven,cedarproject,Noord-Brabant
empel en meerwijk,773,Empel en Meerwijk,cedarproject,Noord-Brabant
engelen,774,Engelen,cedarproject,Noord-Brabant
enkhuizen,388,Enkhuizen,cedarproject,Noord-Holland
enschede,153,Enschede,cedarproject,Overijssel
epe,232,Epe,cedarproject,Gelderland
